ALM Audit Report,,
About,,
Account,,
Account Info,,
Accounting,,
Accounting Details,,
Accounting Dimension,,
Accounting Dimensions,,
Accounts,,
Accrual Date,,
Accrual Details,,
Accrual Type,,
Active,,
Add To First EMI,,
Add to first repayment,,
Additional Interest,,
Additional Interest Accounts ,,
Additional Interest Accrued,,
Additional Interest Amount,,
Additional Interest Income,,
Additional Interest Receivable,,
Additional Interest Suspense,,
Additional Interest Suspense Entry,,
Additional Interest Waiver,,
Address,,
Address Details,,
Address HTML,,
Adjusted Amount,,
Adjusted Interest,,
Adjustment Account,,
Adjustment Details,,
Adjustment Receivable Account,,
Adjustment Type,,
Adjustments,,
Advance Payment,,
Against Loan,,
Against Loan ,,
All entries on and after this date will be reposted,,
Allocated Amount,,
Allocated Date,,
Allocated Demands,,
Amended From,,
America/New_York,,
Amount,,
Amount Paid,,
Amount on which interest is calculated,,
Amounts,,
Applicant,,
Applicant ,,
Applicant Details,,
Applicant Name,,
Applicant Type,,
Applicant-Wise Loan Security Exposure,,
Approved,,
Apps,,
Auto Write Off Amount ,,
Available Amount,,
Available Limit,,
Available Limit Amount,,
Available Security Deposit,,
Available Security Value,,
BPI,,
BPI Amount Difference,,
BPI Difference Date,,
Balance Amount,,
Balance Loan Amount,,
Balance Overdue Principal,,
Bank Account,,
Base Amount,,
Bi-Weekly,,
Both Fixed Deposit and Corporate Guarantee,,
Branch,,
Branch Details,,
Broken Period Interest,,
Broken Period Interest Days,,
Broken Period Interest Recovery Account,,
Bulk Repayment Log,,
Cancel Future Accruals and Demands ,,
Cancel future EMI Demands,,
Cancellation Date,,
Cancelled,Canceled,
Capitalize,,
Carry Forward,,
Centralized,,
Change Date,,
Charge,,
Charge Accounts,,
Charge Amount,,
Charge Based On,,
Charge Code,,
Charge Payment,,
Charge Type,,
Charges,,
Charges Capitalization,,
Charges Overdue,,
Charges Treatment,,
Charges Waiver,,
Classification Code,,
Classification Name,,
Clear demand allocation before repost,,
Clearance Date,,
Closed,,
Closed Account Report,,
Closure Date,,
Co Lender Schedule,,
Co Lending,,
Co-Lender Schedule,,
Collection Offset Sequence,,
Collection Offset Sequence for Settlement Collection,,
Collection Offset Sequence for Standard Asset,,
Collection Offset Sequence for Sub Standard Asset,,
Collection Offset Sequence for Written Off Asset,,
Collection Percentage,,
Collection at partner's percentage,,
Company,,
Company Collection Percentage,,
Completed,,
Completed Tenure,,
Components,,
Connections,,
Contract Export Report,,
Corporate Guarantee Only,,
Cost Center,,
Credit Account,,
Credit Adjustment,,
Credit Adjustment Amount,,
Credit Approval Report,,
Current Disbursed Amount,,
Current Principal Amount,,
Current Restructure Count,,
Customer,,
Customer Refund Account,,
Cyclic Day Of the Month,,
Daily,,
Date,,
Day of every month on which the repayment date is considered,,
Days Past Due,,
Days Past Due Log,,
Days Past Due Threshold for NPA,,
Debit Adjustment,,
Debit Adjustment Amount,,
Decentralized,,
Delete GL Entries,,
Delinked,,
Delinquent Available Limit,,
Delinquent In Process Limit,,
Delinquent Limit,,
Delinquent Limit Amount,,
Delinquent Limit Percent,,
Delinquent Principal Outstanding,,
Delinquent Utilized Limit,,
Demand Amount,,
Demand Date,,
Demand Generated,,
Demand Subtype,,
Demand Type,,
Deposit Amount,,
Deposit Date,,
Description,,
Details,,
Disabled,,
Disbursed,,
Disbursed Amount,,
Disbursement,,
Disbursement Account,,
Disbursement Date,,
Disbursement Details,,
Disbursement References,,
Documentation,,
Draft,,
Due Date,,
EMI,,
EMI (PMT) based,,
EMI (Principal + Interest),,
Effective Date,,
Employee,,
Employee Self Service,,
Enable Partner Accounting,,
End of the current month,,
Entries To Cancel,,
Entries To Repost,,
Event,,
Excess Amount,,
Excess Amount Acceptance Limit,,
Excess Amount Paid,,
Excess amount repayment limit during loan closure,,
FLDG,,
FLDG Account,,
FLDG Corporate Guarantee Percentage,,
FLDG Fixed Deposit Percentage,,
FLDG Limit Calculation Component,,
FLDG Trigger DPD,,
FLDG Trigger Date,,
FLDG Triggered,,
Failed Repayment,,
Fixed Amount,,
Fixed Deposit Only,,
Force Update DPD in Loan,,
Foreclosure Type,,
Frappe School,,
Frappe Support,,
Freeze Account,,
Freeze Date,,
From Branch,,
From Date,,
Full Settlement,,
Grace Period in Days,,
Haircut,,
Haircut %,,
Haircut percentage is the percentage difference between market value of the Loan Security and the value ascribed to that Loan Security when used as collateral for that loan.,,
Ignore On Cancel Amount Update,,
In Process Limit,,
Income Account,,
Initiated,,
Interest,,
Interest Accounts,,
Interest Accrued Account,,
Interest Adjustment,,
Interest Amount,,
Interest Capitalization,,
Interest Carry Forward,,
Interest Income Account,,
Interest Overdue,,
Interest Payable,,
Interest Receivable Account,,
Interest Treatment,,
Interest Type,,
Interest Waiver,,
Interest Waiver Account,,
Interest Waiver Amount,,
Internal Foreclosure,,
Invoice Date,,
Is Backdated,,
Is Excess Amount Refund,,
Is NPA,,
Is Secured Loan,,
Is Security Amount Refund,,
Is Settlement Write Off,,
Is Term Loan,,
Is Write Off Waiver,,
Is Written Off,,
Keyboard Shortcuts,,
Last Accrual Date,,
Limit Amount,,
Limit Applicable End,,
Limit Applicable Start,,
Limit Percent,,
Limit Renewal,,
Limits,,
Line of Credit,,
Loan,,
Loan ,,
Loan  Details,,
Loan Account,,
Loan Accounts,,
Loan Accrual Repost,,
Loan Accrual Repost Detail,,
Loan Adjustment,,
Loan Adjustment Detail,,
Loan Amount,,
Loan Amount Details,,
Loan Amount Percentage,,
Loan Application,,
Loan Balance Adjustment,,
Loan Booking,,
Loan Category,,
Loan Category Code,,
Loan Category Name,,
Loan Charge Reference,,
Loan Charges,,
Loan Classification,,
Loan Classification Details,,
Loan Classification Range,,
Loan Closure,,
Loan Closure Requested,,
Loan Credit Limits,,
Loan Demand,,
Loan Demand Details,,
Loan Demand Offset Detail,,
Loan Demand Offset Order,,
Loan Details,,
Loan Disbursement,,
Loan Disbursement Charge,,
Loan Disbursement Charges,,
Loan Freeze Log,,
Loan IRAC Provisioning Configuration,,
Loan Info,,
Loan Interest Accrual,,
Loan Interest Report,,
Loan Limit Change Log,,
Loan Management,,
Loan Manager,,
Loan NPA Log,,
Loan Outstanding Report,,
Loan Partner,,
Loan Partner Address,,
Loan Partner Adhoc Charges Shared,,
Loan Partner Details,,
Loan Partner Interest Rate,,
Loan Partner Payment Ratio,,
Loan Partner Rate Of Interest,,
Loan Partner Repayment Schedule Type,,
Loan Partner Share Details,,
Loan Partner Share Percentage,,
Loan Partner Shareable,,
Loan Partners,,
Loan Product,,
Loan Product Loan Partner,,
Loan Refund,,
Loan Repayment,,
Loan Repayment Charges,,
Loan Repayment Detail,,
Loan Repayment Entries,,
Loan Repayment Repost,,
Loan Repayment Repost Cancel Detail,,
Loan Repayment Repost Detail,,
Loan Repayment Schedule,,
Loan Repayment Schedule Detail,,
Loan Repayment Type,,
Loan Repayment and Closure,,
Loan Restructure,,
Loan Restructure Count,,
Loan Restructure Details,,
Loan Restructure Limit Log,,
Loan Security,,
Loan Security Assignment,,
Loan Security Code,,
Loan Security Deposit,,
Loan Security Details,,
Loan Security Exposure,,
Loan Security Name,,
Loan Security Price,,
Loan Security Release,,
Loan Security Shortfall,,
Loan Security Status,,
Loan Security Type,,
Loan To Value Ratio,,
Loan To Value Ratio expresses the ratio of the loan amount to the value of the security pledged. A loan security shortfall will be triggered if this falls below the specified value for any loan ,,
Loan Transfer,,
Loan Transfer Detail,,
Loan Write Off,,
Loan Write Off will be automatically created on loan closure request if pending amount is below this limit,,
Loan is a Non Performing Asset,,
Loans,,
Loans will be marked as NPA when the days past due count exceed this threshold,,
Log out,,
Manual Foreclosure,,
Manual NPA,,
Manual Remarks,,
Manually marked as NPA,,
Maturity Date,,
Max DPD Range,,
Maximum Limit Amount,,
Maximum Loan Amount,,
Maximum Loan Value,,
Member,,
Min DPD Range,,
Minimum Partner Loan Amount Percentage,,
Minimum days between Disbursement date and first Repayment date,,
Misc,,
Mode Of Payment,,
Monthly,,
Monthly Repayment Amount,,
Monthly as per cycle date,,
Monthly as per repayment start date,,
Moratorium End Date,,
Moratorium Tenure,,
Moratorium Type,,
More Information,,
My Profile,,
My Settings,,
NPA,,
NPA Date,,
NPL Report,,
New Loan Amount,,
New Monthly Repayment Amount,,
New Rate Of Interest,,
New Repayment Method,,
New Repayment Period in Months,,
New Repayment Start Date,,
No. of days from due date until which penalty won't be charged in case of delay in loan repayment,,
Normal,,
Normal Interest,,
Normal Interest Journal Entry,,
Normal Limit,,
Normal Repayment,,
Normal Restructure,,
Number Of Days,,
Old EMI,,
Old Loan Amount,,
Old Rate of Interest,,
Old Repayment Frequency,,
Old Tenure,,
One Time,,
Open,,
Organization Type,,
Original Security Value,,
Other Charges Waiver,,
Other Details,,
Outdated,,
Outstanding Amount,,
Outstanding Balance Report,,
Outstanding Principal,,
Outstanding Principal & Interest Accrued,,
Own Ratio,,
POS reduction plus interest at partner ROI,,
Paid Amount,,
Partial Payment Mechanism,,
Partial Settlement,,
Partially Disbursed,,
Particulars,,
Partner Base Interest Rate,,
Partner Code,,
Partner Collection Percentage,,
Partner Interest Share,,
Partner Loan Amount Percentage,,
Partner Loan Share Percentage,,
Partner Monthly Repayment Amount,,
Partner Name,,
Partner Percentage,,
Partner Ratio,,
Partner Repayment Schedule Type,,
Partner Share,,
Partner Share Allocated,,
Payable Account,,
Payable Amount,,
Payable Charges,,
Payable Principal Amount,,
Payment Account,,
Payment Date,,
Payment Details,,
Payment Reference,,
Payment References,,
Payroll Payable Account,,
Penal Interest,,
Penal Interest Waiver,,
Penal Treatment,,
Penalty,,
Penalty Accrued Account,,
Penalty Amount,,
Penalty Capitalization,,
Penalty Charges Accounts,,
Penalty Charges Rate,,
Penalty Income Account,,
Penalty Interest Rate (%),,
Penalty Interest Rate is levied on the pending amount on a daily basis in case of delayed repayment ,,
Penalty Overdue,,
Penalty Receivable Account,,
Penalty Suspense Account,,
Penalty Waiver,,
Penalty Waiver Account,,
Pending,,
Pending Charge Amount,,
Pending Principal Amount,,
Percentage,,
Pledge,,
Pledge Requested,,
Pledge Time,,
Pledged,,
Post Haircut Amount,,
Posting Date,,
Posting Date (End Date),,
Pre Payment,,
Pre Payment Charges,,
Pre Restructure DPD,,
Pre Restructure Details,,
Prepayment Charges,,
Primary,,
Primary Address,,
Principal,,
Principal Adjusted,,
Principal Adjustment,,
Principal Amount,,
Principal Amount Paid,,
Principal Capitalization,,
Principal Outstanding,,
Principal Overdue,,
Pro-rated calendar months,,
Process Loan Classification,,
Process Loan Demand,,
Process Loan Interest Accrual,,
Process Loan Restructure Limit,,
Process Loan Security Shortfall,,
Process Payroll Accounting Entry based on Employee,,
Product Code,,
Product Name,,
Proposed Pledge,,
Proposed Pledges,,
Provision Rate,,
Quantity,,
Quarterly,,
Rate Of Interest,,
Rate of Interest,,
Rate of Interest (%) / Year,,
Rate of Interest (%) Yearly,,
Ratio,,
Reason,,
Reason For Freezing,,
Reason for Restructure,,
Receivable Account,,
Reference Date,,
Reference Document Type,,
Reference Name,,
Reference No,,
Reference Number,,
References,,
Refund,,
Refund Account,,
Refund Amount,,
Refund Date,,
Refund Details,,
Refund amount,,
Regular,,
Rejected,,
Release Requested,,
Release Time,,
Released,,
Reload,,
Remaining Debtor Report,,
Remarks,,
Repay Fixed Amount per Period,,
Repay From Salary,,
Repay Over Number of Periods,,
Repayment,,
Repayment Account,,
Repayment Date On,,
Repayment Details,,
Repayment Frequency,,
Repayment Info,,
Repayment Method,,
Repayment Period In Months,,
Repayment Period in Months,,
Repayment Periods,,
Repayment Schedule,,
Repayment Schedule Detail,,
Repayment Schedule Type,,
Repayment Start Date,,
Repayment Type,,
Report an Issue,,
Repossessed,,
Repost Date,,
Requested,,
Rescheduled,,
Restructure Charges,,
Restructure Date,,
Restructure Type,,
Restructure of Loans applicable,,
Restructured,,
Sales Invoice,,
Same as regular interest accounts,,
Sanctioned,,
Sanctioned Amount Limit,,
Sanctioned Loan Amount,,
Secured,,
Securities,,
Security Deposit Account,,
Security Deposit Adjustment,,
Security Type,,
Security Value ,,
Select whether the repayment date should be the end of the current month or start of the upcoming month,,
Semi-Secured,,
Servicer Fee,,
Session Defaults,,
Settled,,
Settlement Date,,
Shareable Type,,
Shareables,,
Sharing Parameter,,
Shortfall Amount,,
Shortfall Percentage,,
Shortfall Time,,
Start Date,,
Start of the next month,,
Status,,
Submitted,,
Subsidy Adjustment Account,,
Subsidy Adjustments,,
Suspense Account,,
Suspense Collection Account,,
Suspense Interest Income,,
System Manager,,
Tenure,,
Tenure Post Restructure,,
Term Details,,
The schedule type that will be used for generating the term loan schedules (will affect the payment date and monthly repayment amount),,
Timestamp,,
Title,,
To Branch,,
To Date,,
Toggle Full Width,,
Toggle Theme,,
Total Amount Paid,,
Total Charges Paid,,
Total Charges Payable,,
Total Installments Overdue ,,
Total Installments Paid,,
Total Installments Raised,,
Total Interest Paid,,
Total Interest Payable,,
Total Overdue Amount,,
Total Partner Interest Share,,
Total Partner Principal Share,,
Total Payable Amount,,
Total Payable Interest,,
Total Payment,,
Total Penalty Paid,,
Total Principal Paid,,
Total Security Value,,
Totals,,
Trace ID,,
Traceback,,
Transfer Date,,
Treatment Of Interest,,
Treatment of Interest,,
Type of FLDG Applicable,,
Unaccrued Interest,,
Unaccrued Interest Treatment,,
Unaccrued Interest Waiver,,
Unbooked Interest Paid,,
Unbooked Penalty Paid,,
Unfreeze Date,,
Unmark NPA,,
Unpledge,,
Unpledge Time,,
Unpledged,,
Unsecured,,
Update Time,,
User Forum,,
Utilized Limit,,
Utilized Limit Amount,,
Utilized Security Value,,
Valid From,,
Valid Upto,,
Validate Normal Repayment,,
Value Change,,
Value Date,,
Value Type,,
View Website,,
Waive Off Restructure Charges,,
Waived Amount,,
Waiver Account,,
Waiving of Charges applicable,,
Watch Period End Date,,
Weekly,,
Withhold Security Deposit,,
Write Off Account,,
