ALM Audit Report,,
About,,
Account,គណនី,
Account Info,ព័តគណនី,
Accounting,គណនេយ្យ,
Accounting Details,សេចក្ដីលម្អិតគណនី,
Accounting Dimension,វិមាត្រគណនេយ្យ។,
Accounting Dimensions,វិមាត្រគណនេយ្យ,
Accounts,គណនី,
Accrual Date,,
Accrual Details,,
Accrual Type,,
Active,សកម្ម,
Add To First EMI,,
Add to first repayment,,
Additional Information,ព័ត៍មានបន្ថែម,
Additional Interest,,
Additional Interest Accounts ,,
Additional Interest Accrued,,
Additional Interest Amount,,
Additional Interest Income,,
Additional Interest Receivable,,
Additional Interest Suspense,,
Additional Interest Suspense Entry,,
Additional Interest Waiver,,
Additional Requirements,,
Additional details or special instructions,,
Additional notes about this fee,,
Additional requirements or special conditions,,
Address,អាសយដ្ឋាន,
Address Details,,
Address HTML,អាសយដ្ឋានរបស់ HTML,
Adjusted Amount,,
Adjusted Interest,,
Adjustment Account,,
Adjustment Details,,
Adjustment Receivable Account,,
Adjustment Type,,
Adjustments,,
Advance Payment,,
Against Loan,ប្រឆាំងនឹងប្រាក់កម្ចី,
Against Loan ,ប្រឆាំងនឹងប្រាក់កម្ចី,
All entries on and after this date will be reposted,,
Allocated Amount,ទឹកប្រាក់ដែលត្រៀមបម្រុងទុក,
Allocated Date,,
Allocated Demands,,
Allow NPL Customers,,
Allow customers with Non-Performing Loan history,,
Allowed Collateral Types,,
Amended From,ធ្វើវិសោធនកម្មពី,
America/New_York,អាមេរិក / ញូវយ៉ក,
Amount,ចំនួនទឹកប្រាក់,
Amount Paid,ចំនួនទឹកប្រាក់ដែលបង់,
Amount on which interest is calculated,,
Amounts,បរិមាណ,
Any Collateral,,
Applicability Range,,
Applicant,បេក្ខជន,
Applicant ,,
Applicant Details,,
Applicant Name,ឈ្មោះកម្មវិធី,
Applicant Type,ប្រភេទបេក្ខជន,
Applicant-Wise Loan Security Exposure,,
Applies to Loan Amount (Max),,
Applies to Loan Amount (Min),,
Approved,បានអនុម័ត,
Apps,,
Auto Write Off Amount ,,
Automatically set based on parent product. Sub-products inherit approval limits from parent.,,
Available Amount,,
Available Limit,,
Available Limit Amount,,
Available Security Deposit,,
Available Security Value,,
BPI,,
BPI Amount Difference,,
BPI Difference Date,,
Balance Amount,,
Balance Loan Amount,តុល្យភាពប្រាក់កម្ចីចំនួនទឹកប្រាក់,
Balance Overdue Principal,,
Bank Account,គណនីធនាគារ,
Bank Statement,,
Base Amount,,
Bi-Weekly,,
Both Fixed Deposit and Corporate Guarantee,,
Branch,សាខា,
Branch Details,,
Broken Period Interest,,
Broken Period Interest Days,,
Broken Period Interest Recovery Account,,
Bulk Repayment Log,,
Business Registration,,
Cancel Future Accruals and Demands ,,
Cancel future EMI Demands,,
Cancellation Date,,
Cancelled,បានកាត់បន្ថយ,
Capitalize,,
Carry Forward,អនុវត្តការទៅមុខ,
Centralized,,
Change Date,,
Charge,,
Charge Accounts,,
Charge Amount,,
Charge Based On,,
Charge Code,,
Charge Payment,,
Charge Type,,
Charges,ការចោទប្រកាន់,
Charges Capitalization,,
Charges Overdue,,
Charges Treatment,,
Charges Waiver,,
Check credit bureau (NCB) before approving loan,,
Check if fee amount is a percentage of loan amount,,
Check if field verification is required,,
Check if guarantor is required for this product,,
Check if income verification is required,,
Check if ownership transfer is required,,
Check if this fee is waived (free),,
Classification Code,,
Classification Name,,
Clear demand allocation before repost,,
Clearance Date,កាលបរិច្ឆេទបោសសំអាត,
Closed,បានបិទ,
Closed Account Report,,
Closure Date,,
Co Lender Schedule,,
Co Lending,,
Co-Lender Schedule,,
Collateral Photo,,
Collateral Requirements,,
Collateral Type,,
Collateral and guarantor requirements by loan amount tier,,
Collection Offset Sequence,,
Collection Offset Sequence for Settlement Collection,,
Collection Offset Sequence for Standard Asset,,
Collection Offset Sequence for Sub Standard Asset,,
Collection Offset Sequence for Written Off Asset,,
Collection Percentage,,
Collection at partner's percentage,,
Color theme for highlighted point,,
Company,ក្រុមហ៊ុន,
Company Collection Percentage,,
Completed,បានបញ្ចប់,
Completed Tenure,,
Components,សមាសភាគ,
Connections,,
Contract Export Report,,
Contract Fee,,
Corporate Guarantee Only,,
Cost Center,មជ្ឈមណ្ឌលការចំណាយ,
Credit Account,គណនីឥណទាន,
Credit Adjustment,,
Credit Adjustment Amount,,
Credit Approval Report,,
Criteria for loan application screening and approval,,
Current Disbursed Amount,,
Current Principal Amount,,
Current Restructure Count,,
Customer,អតិថិជន,
Customer Refund Account,,
Cyclic Day Of the Month,,
Daily,ជារៀងរាល់ថ្ងៃ,
Danger,គ្រោះថ្នាក់,
Date,កាលបរិច្ឆេទ,
Day of every month on which the repayment date is considered,,
Days Past Due,,
Days Past Due Log,,
Days Past Due Threshold for NPA,,
Debit Adjustment,,
Debit Adjustment Amount,,
Decentralized,,
Define minimum and maximum loan periods in months,,
Delete GL Entries,,
Delinked,,
Delinquent Available Limit,,
Delinquent In Process Limit,,
Delinquent Limit,,
Delinquent Limit Amount,,
Delinquent Limit Percent,,
Delinquent Principal Outstanding,,
Delinquent Utilized Limit,,
Demand Amount,,
Demand Date,,
Demand Generated,,
Demand Subtype,,
Demand Type,,
Deposit Amount,,
Deposit Date,,
Description,ការពិពណ៌នាសង្ខេប,
Description (English),,
Description (Thai),,
Detailed explanation of this selling point,,
Details,ពត៌មានលំអិត,
Disabled,ជនពិការ,
Disbursed,ចំណាយ,
Disbursed Amount,ចំនួនទឹកប្រាក់ដែលបានផ្តល់ឱ្យ,
Disbursement,,
Disbursement Account,,
Disbursement Date,កាលបរិច្ឆេទបញ្ចេញឥណទាន,
Disbursement Details,ព័ត៌មានលម្អិតនៃការចែកចាយ,
Disbursement References,,
Display Settings,បង្ហាញការកំណត់,
Display order (lower number shows first),,
Document Details,,
Document Name (English),,
Document Name (Thai),,
Document Requirements,,
Document Type,ប្រភេទឯកសារ,
Documentation,,
Draft,សេចក្តីព្រាង,
Due Date,កាលបរិច្ឆេទដល់កំណត់,
EMI,,
EMI (PMT) based,,
EMI (Principal + Interest),,
Early Repayment Fee,,
Effective Date,,
Employee,បុគ្គលិក,
Employee Self Service,,
Enable Partner Accounting,,
End of the current month,,
Entries To Cancel,,
Entries To Repost,,
Entry Fee,,
Event,ព្រឹត្តការណ៍,
Excess Amount,,
Excess Amount Acceptance Limit,,
Excess Amount Paid,,
Excess amount repayment limit during loan closure,,
FLDG,,
FLDG Account,,
FLDG Corporate Guarantee Percentage,,
FLDG Fixed Deposit Percentage,,
FLDG Limit Calculation Component,,
FLDG Trigger DPD,,
FLDG Trigger Date,,
FLDG Triggered,,
Failed Repayment,,
Feature this selling point prominently,,
Fee Amount,,
Fee Details,,
Fee Name (English),,
Fee Name (Thai),,
Fee Type,,
Fees,ថ្លៃសេវា,
"Fees, collateral requirements, documents, and selling points",,
Field Verification Required,,
Financial Statement,,
Fixed Amount,,
Fixed Deposit Only,,
Force Update DPD in Loan,,
Foreclosure Type,,
Frappe School,,
Frappe Support,,
Freeze Account,,
Freeze Date,,
From Branch,,
From Date,ពីកាលបរិច្ឆេទ,
Full Settlement,,
Grace Period in Days,រយៈពេលព្រះគុណនៅក្នុងថ្ងៃ,
Guarantor Required,,
Haircut,កាត់សក់,
Haircut %,កាត់សក់%,
Haircut percentage is the percentage difference between market value of the Loan Security and the value ascribed to that Loan Security when used as collateral for that loan.,ភាគរយកាត់សក់គឺជាភាពខុសគ្នាជាភាគរយរវាងតម្លៃទីផ្សារនៃប្រាក់កម្ចីសន្តិសុខនិងតម្លៃដែលបានបញ្ចូលទៅនឹងសន្តិសុខឥណទាននៅពេលប្រើជាវត្ថុបញ្ចាំសម្រាប់ប្រាក់កម្ចីនោះ។,
Highlight Color,,
Highlight Settings,,
Highlight This Point,,
House Registration,,
"How recent the document must be (e.g., 3 for salary slips)",,
ID Card,,
Icon,រូបតំណាង,
"Icon name (e.g., clock, dollar-sign, check-circle) for display",,
Ignore On Cancel Amount Update,,
In Process Limit,,
Income Account,គណនីប្រាក់ចំណូល,
Income Multiplier,,
Income Verification Required,,
Info,ពត៌មាន,
Initiated,ផ្តួចផ្តើម,
Insurance Fee,,
Interest,ការប្រាក់,
Interest Accounts,,
Interest Accrued Account,,
Interest Adjustment,,
Interest Amount,ចំនួនការប្រាក់,
Interest Capitalization,,
Interest Carry Forward,,
Interest Income Account,គណនីប្រាក់ចំណូលការប្រាក់,
Interest Overdue,,
Interest Payable,ការប្រាក់ត្រូវបង់,
Interest Receivable Account,,
Interest Treatment,,
Interest Type,,
Interest Waiver,,
Interest Waiver Account,,
Interest Waiver Amount,,
Internal Foreclosure,,
Invoice Date,វិក័យប័ត្រកាលបរិច្ឆេទ,
Is Backdated,,
Is Excess Amount Refund,,
Is Mandatory,គឺចាំបាច់,
Is NPA,,
Is Percentage,,
Is Secured Loan,គឺជាប្រាក់កម្ចីមានសុវត្ថិភាព,
Is Security Amount Refund,,
Is Settlement Write Off,,
Is Sub-Product,,
Is Term Loan,គឺជាប្រាក់កម្ចីមានកាលកំណត់,
Is Waived,,
Is Write Off Waiver,,
Is Written Off,,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
LTV Ratio (Loan-to-Value),,
Land,,
Land + Property,,
Land Title Deed,,
Last Accrual Date,,
Late Payment Fee,,
Leave blank for unlimited,,
Leave blank if applies to all amounts,,
Leave blank if no upper limit,,
Lending,,
Limit Amount,,
Limit Applicable End,,
Limit Applicable Start,,
Limit Percent,,
Limit Renewal,,
Limits,,
Line of Credit,,
Link to parent product if this is a sub-product. Leave blank for main products.,,
Loan,ឥណទាន,
Loan ,ឥណទាន,
Loan  Details,ព័ត៌មានលំអិតប្រាក់កម្ចី,
Loan Account,គណនីប្រាក់កម្ចី,
Loan Accounts,,
Loan Accrual Repost,,
Loan Accrual Repost Detail,,
Loan Adjustment,,
Loan Adjustment Detail,,
Loan Amount,ចំនួនប្រាក់កម្ចី,
Loan Amount Details,,
Loan Amount Percentage,,
Loan Amount Range,,
Loan Application,ពាក្យស្នើសុំឥណទាន,
Loan Balance Adjustment,,
Loan Booking,,
Loan Category,,
Loan Category Code,,
Loan Category Name,,
Loan Charge Reference,,
Loan Charges,,
Loan Classification,,
Loan Classification Details,,
Loan Classification Range,,
Loan Closure,ការបិទប្រាក់កម្ចី,
Loan Closure Requested,ស្នើសុំបិទការផ្តល់ប្រាក់កម្ចី,
Loan Credit Limits,,
Loan Demand,,
Loan Demand Details,,
Loan Demand Offset Detail,,
Loan Demand Offset Order,,
Loan Details,សេចក្ដីលម្អិតប្រាក់កម្ចី,
Loan Disbursement,ការផ្តល់ប្រាក់កម្ចី,
Loan Disbursement Charge,,
Loan Disbursement Charges,,
Loan Freeze Log,,
Loan IRAC Provisioning Configuration,,
Loan Info,ព័តមានប្រាក់កម្ចី,
Loan Interest Accrual,អត្រាការប្រាក់កម្ចី,
Loan Interest Report,,
Loan Limit Change Log,,
Loan Manager,អ្នកគ្រប់គ្រងប្រាក់កម្ចី,
Loan NPA Log,,
Loan Outstanding Report,,
Loan Partner,,
Loan Partner Address,,
Loan Partner Adhoc Charges Shared,,
Loan Partner Details,,
Loan Partner Interest Rate,,
Loan Partner Payment Ratio,,
Loan Partner Rate Of Interest,,
Loan Partner Repayment Schedule Type,,
Loan Partner Share Details,,
Loan Partner Share Percentage,,
Loan Partner Shareable,,
Loan Partners,,
Loan Period Limits,,
Loan Product,,
Loan Product Collateral Requirement,,
Loan Product Document Requirement,,
Loan Product Fee,,
Loan Product Loan Partner,,
Loan Product Selling Point,,
Loan Refund,,
Loan Repayment,ការទូទាត់សងប្រាក់កម្ចី,
Loan Repayment Charges,,
Loan Repayment Detail,ព័ត៌មានលំអិតនៃការសងប្រាក់កម្ចី,
Loan Repayment Entries,,
Loan Repayment Repost,,
Loan Repayment Repost Cancel Detail,,
Loan Repayment Repost Detail,,
Loan Repayment Schedule,,
Loan Repayment Schedule Detail,,
Loan Repayment Type,,
Loan Repayment and Closure,ការសងប្រាក់កម្ចីនិងការបិទទ្វារ,
Loan Restructure,,
Loan Restructure Count,,
Loan Restructure Details,,
Loan Restructure Limit Log,,
Loan Screening Criteria,,
Loan Security,សន្តិសុខឥណទាន,
Loan Security Assignment,,
Loan Security Code,កូដសុវត្ថិភាពប្រាក់កម្ចី,
Loan Security Deposit,,
Loan Security Details,ព័ត៌មានលម្អិតអំពីប្រាក់កម្ចី,
Loan Security Exposure,,
Loan Security Name,ឈ្មោះសុវត្ថិភាពប្រាក់កម្ចី,
Loan Security Price,តម្លៃសេវាប្រាក់កម្ចី,
Loan Security Release,,
Loan Security Shortfall,កង្វះខាតប្រាក់កម្ចី,
Loan Security Status,ស្ថានភាពសុវត្ថិភាពប្រាក់កម្ចី,
Loan Security Type,ប្រភេទសុវត្ថិភាពប្រាក់កម្ចី,
Loan To Value Ratio,សមាមាត្រប្រាក់កម្ចី,
Loan To Value Ratio expresses the ratio of the loan amount to the value of the security pledged. A loan security shortfall will be triggered if this falls below the specified value for any loan ,អនុបាតឥណទានធៀបនឹងតម្លៃបង្ហាញពីសមាមាត្រនៃចំនួនប្រាក់កម្ចីទៅនឹងតម្លៃនៃមូលប័ត្រដែលបានសន្យា។ កង្វះសន្តិសុខប្រាក់កម្ចីនឹងត្រូវបានបង្កឡើងប្រសិនបើវាស្ថិតនៅក្រោមតម្លៃដែលបានបញ្ជាក់សម្រាប់ប្រាក់កម្ចីណាមួយ,
Loan Transfer,,
Loan Transfer Detail,,
Loan Write Off,,
Loan Write Off will be automatically created on loan closure request if pending amount is below this limit,,
Loan is a Non Performing Asset,,
Loans,ប្រាក់កម្ចី។,
Loans will be marked as NPA when the days past due count exceed this threshold,,
Log out,,
M Capital Limits,,
M Capital Product Code,,
M Capital Product Settings,,
M Capital Requirements,,
"M Capital product code (M, N, O, MC, L, H, RE, One Time) or sub-product code (e.g., M-01, N-02). Main products: M=Minimal, N=Normal, O=Over, MC=Motor, L=Land, H=Home, RE=Refinance, One Time=Agricultural",,
M Capital specific product categorization and requirements,,
Manual Foreclosure,,
Manual NPA,,
Manual Remarks,,
Manually marked as NPA,,
Marketing point in English language,,
Marketing point in Thai language,,
Marketing selling points for this product,,
Maturity Date,,
Max DPD Range,,
Maximum Debt Service Ratio (%),,
Maximum LTV Ratio (%),,
Maximum Limit Amount,,
Maximum Loan Amount,ចំនួនទឹកប្រាក់កម្ចីអតិបរមា,
Maximum Loan Period (Months),,
Maximum Loan Value,តម្លៃប្រាក់កម្ចីអតិបរមា,
Maximum Vehicle Age (years),,
"Maximum debt service ratio allowed (e.g., 40% means monthly debt payments cannot exceed 40% of income)",,
"Maximum loan amount as multiple of monthly income (e.g., 10 means max loan = 10x monthly income)",,
Maximum loan period in months,,
Maximum loan-to-value ratio (leave blank for no limit),,
Maximum loan-to-value ratio allowed,,
Maximum vehicle age allowed (leave blank for no limit),,
Member,សមាជិក,
Min DPD Range,,
Minimum Guarantors,,
Minimum LTV Ratio (%),,
Minimum Loan Amount,,
Minimum Loan Period (Months),,
Minimum Partner Loan Amount Percentage,,
Minimum days between Disbursement date and first Repayment date,,
Minimum loan amount for this product,,
Minimum loan period in months,,
Minimum loan-to-value ratio,,
Minimum loan-to-value ratio required,,
Minimum number of guarantors required,,
Misc,,
Mode Of Payment,របៀបបង់ប្រាក់,
Monthly,ប្រចាំខែ,
Monthly Repayment Amount,ចំនួនទឹកប្រាក់សងប្រចាំខែ,
Monthly as per cycle date,,
Monthly as per repayment start date,,
Moratorium End Date,,
Moratorium Tenure,,
Moratorium Type,,
More Information,ព័ត៌មានបន្ថែម,
My Profile,,
My Settings,,
NPA,,
NPA Date,,
NPL Report,,
New Loan Amount,,
New Monthly Repayment Amount,,
New Rate Of Interest,,
New Repayment Method,,
New Repayment Period in Months,,
New Repayment Start Date,,
No. of days from due date until which penalty won't be charged in case of delay in loan repayment,ចំនួនថ្ងៃចាប់ពីថ្ងៃកំណត់រហូតដល់ការពិន័យដែលមិនត្រូវបានចោទប្រកាន់ក្នុងករណីមានការពន្យាពេលក្នុងការសងប្រាក់កម្ចី,
Normal,ធម្មតា,
Normal Interest,,
Normal Interest Journal Entry,,
Normal Limit,,
Normal Repayment,,
Normal Restructure,,
Notes,កំណត់ត្រា,
Number Of Days,,
Number of Guarantors Required,,
"Number of copies or instances required (e.g., 3 for salary slips)",,
Old EMI,,
Old Loan Amount,,
Old Rate of Interest,,
Old Repayment Frequency,,
Old Tenure,,
One Time,,
Open,បើកទូលាយ,
Organization Type,,
Original Security Value,,
Other,ផ្សេងទៀត,
Other Charges Waiver,,
Other Details,ព័ត៌មានលម្អិតផ្សេងទៀត,
Outdated,,
Outstanding Amount,ចំនួនទឹកប្រាក់ដ៏ឆ្នើម,
Outstanding Balance Report,,
Outstanding Principal,,
Outstanding Principal & Interest Accrued,,
Own Ratio,,
Ownership Transfer Required,,
POS reduction plus interest at partner ROI,,
Paid Amount,ចំនួនទឹកប្រាក់ដែលបង់,
Parent Product,,
Partial Payment Mechanism,,
Partial Settlement,,
Partially Disbursed,ផ្តល់ឱ្រយអតិថិជនដោយផ្នែក,
Particulars,ពិសេស,
Partner Base Interest Rate,,
Partner Code,,
Partner Collection Percentage,,
Partner Interest Share,,
Partner Loan Amount Percentage,,
Partner Loan Share Percentage,,
Partner Monthly Repayment Amount,,
Partner Name,,
Partner Percentage,,
Partner Ratio,,
Partner Repayment Schedule Type,,
Partner Share,,
Partner Share Allocated,,
Payable Account,គណនីត្រូវបង់,
Payable Amount,ចំនួនទឹកប្រាក់ដែលត្រូវបង់។,
Payable Charges,,
Payable Principal Amount,ចំនួនទឹកប្រាក់ដែលនាយកសាលាត្រូវបង់,
Payment Account,គណនីទូទាត់ប្រាក់,
Payment Date,កាលបរិច្ឆេទការទូទាត់,
Payment Details,សេចក្ដីលម្អិតការបង់ប្រាក់,
Payment Reference,សេចក្ដីយោងការបង់ប្រាក់,
Payment References,ឯកសារយោងការទូទាត់,
Payroll Payable Account,,
Penal Interest,,
Penal Interest Waiver,,
Penal Treatment,,
Penalty,,
Penalty Accrued Account,,
Penalty Amount,ចំនួនទឹកប្រាក់ពិន័យ,
Penalty Capitalization,,
Penalty Charges Accounts,,
Penalty Charges Rate,,
Penalty Income Account,គណនីប្រាក់ចំណូលពិន័យ,
Penalty Interest Rate (%),,
Penalty Interest Rate is levied on the pending amount on a daily basis in case of delayed repayment ,,
Penalty Overdue,,
Penalty Receivable Account,,
Penalty Suspense Account,,
Penalty Waiver,,
Penalty Waiver Account,,
Pending,ឡុងេពល,
Pending Charge Amount,,
Pending Principal Amount,ចំនួនប្រាក់ដើមដែលនៅសល់,
Percentage,ចំនួនភាគរយ,
Pledge,សន្យា,
Pledge Requested,,
Pledge Time,ពេលវេលាសន្យា,
Pledged,បានសន្យា,
Post Haircut Amount,ចំនួនកាត់សក់កាត់សក់,
Posting Date,ការប្រកាសកាលបរិច្ឆេទ,
Posting Date (End Date),,
Pre Payment,,
Pre Payment Charges,,
Pre Restructure DPD,,
Pre Restructure Details,,
Prepayment Charges,,
Primary,បឋមសិក្សា,
Primary Address,អាសយដ្ឋានចម្បង,
Principal,,
Principal Adjusted,,
Principal Adjustment,,
Principal Amount,ប្រាក់ដើម,
Principal Amount Paid,ប្រាក់ដើមចម្បង,
Principal Capitalization,,
Principal Outstanding,,
Principal Overdue,,
Pro-rated calendar months,,
Process Loan Classification,,
Process Loan Demand,,
Process Loan Interest Accrual,ដំណើរការការប្រាក់កម្ចីមានចំនួនកំណត់,
Process Loan Restructure Limit,,
Process Loan Security Shortfall,កង្វះខាតឥណទានសម្រាប់ដំណើរការ,
Process Payroll Accounting Entry based on Employee,,
Processing Fee,,
Product Code,,
Product Configuration,,
Product Description,,
Product Details,,
Product Name,,
Product Name (English),,
Product Name (Thai),,
Product fees and charges,,
Product name in English language,,
Product name in Thai language,,
Product-specific special requirements and conditions,,
Property,ទ្រព្យសម្បត្ដិ,
Property Deed,,
Proposed Pledge,សន្យាសន្យា,
Proposed Pledges,ពាក្យសន្យាដែលបានស្នើ,
Provision Rate,,
Quantity,បរិមាណ,
Quantity Required,,
Quarterly,ប្រចាំត្រីមាស,
Rate Of Interest,,
Rate of Interest,អត្រាការប្រាក់,
