ALM Audit Report,,
About,,
Account,ບັນຊີ,
Account Info,ຂໍ້ມູນບັນຊີ,
Accounting,ການບັນຊີ,
Accounting Details,ລາຍລະອຽດການບັນຊີ,
Accounting Dimension,ຂະ ໜາດ ບັນຊີ,
Accounting Dimensions,ຂະ ໜາດ ບັນຊີ,
Accounts,ບັນຊີ,
Accrual Date,,
Accrual Details,,
Accrual Type,,
Active,ການເຄື່ອນໄຫວ,
Add To First EMI,,
Add to first repayment,,
Additional Information,ຂໍ້ມູນເພີ່ມເຕີມ,
Additional Interest,,
Additional Interest Accounts ,,
Additional Interest Accrued,,
Additional Interest Amount,,
Additional Interest Income,,
Additional Interest Receivable,,
Additional Interest Suspense,,
Additional Interest Suspense Entry,,
Additional Interest Waiver,,
Additional Requirements,,
Additional details or special instructions,,
Additional notes about this fee,,
Additional requirements or special conditions,,
Address,ທີ່ຢູ່,
Address Details,,
Address HTML,ທີ່ຢູ່ HTML,
Adjusted Amount,,
Adjusted Interest,,
Adjustment Account,,
Adjustment Details,,
Adjustment Receivable Account,,
Adjustment Type,,
Adjustments,,
Advance Payment,,
Against Loan,ຕໍ່ການກູ້ຢືມເງິນ,
Against Loan ,ຕໍ່ການກູ້ຢືມເງິນ,
All entries on and after this date will be reposted,,
Allocated Amount,ຈໍານວນເງິນທີ່ຈັດສັນ,
Allocated Date,,
Allocated Demands,,
Allow NPL Customers,,
Allow customers with Non-Performing Loan history,,
Allowed Collateral Types,,
Amended From,ສະບັບປັບປຸງຈາກ,
America/New_York,ອາເມລິກາ / New_York,
Amount,ຈໍານວນ,
Amount Paid,ຈໍານວນເງິນທີ່ຊໍາລະເງິນ,
Amount on which interest is calculated,,
Amounts,ຈຳ ນວນເງິນ,
Any Collateral,,
Applicability Range,,
Applicant,ຜູ້ສະຫມັກ,
Applicant ,,
Applicant Details,,
Applicant Name,ຊື່ຜູ້ສະຫມັກ,
Applicant Type,ປະເພດຜູ້ສະຫມັກ,
Applicant-Wise Loan Security Exposure,,
Applies to Loan Amount (Max),,
Applies to Loan Amount (Min),,
Approved,ການອະນຸມັດ,
Apps,,
Auto Write Off Amount ,,
Automatically set based on parent product. Sub-products inherit approval limits from parent.,,
Available Amount,,
Available Limit,,
Available Limit Amount,,
Available Security Deposit,,
Available Security Value,,
BPI,,
BPI Amount Difference,,
BPI Difference Date,,
Balance Amount,,
Balance Loan Amount,ການດຸ່ນດ່ຽງຈໍານວນເງິນກູ້,
Balance Overdue Principal,,
Bank Account,ບັນຊີທະນາຄານ,
Bank Statement,,
Base Amount,,
Bi-Weekly,,
Both Fixed Deposit and Corporate Guarantee,,
Branch,ສາຂາ,
Branch Details,,
Broken Period Interest,,
Broken Period Interest Days,,
Broken Period Interest Recovery Account,,
Bulk Repayment Log,,
Business Registration,,
Cancel Future Accruals and Demands ,,
Cancel future EMI Demands,,
Cancellation Date,,
Cancelled,ຫຼຸດລົງ,
Capitalize,,
Carry Forward,ປະຕິບັດໄປຂ້າງຫນ້າ,
Centralized,,
Change Date,,
Charge,,
Charge Accounts,,
Charge Amount,,
Charge Based On,,
Charge Code,,
Charge Payment,,
Charge Type,,
Charges,ຄ່າບໍລິການ,
Charges Capitalization,,
Charges Overdue,,
Charges Treatment,,
Charges Waiver,,
Check credit bureau (NCB) before approving loan,,
Check if fee amount is a percentage of loan amount,,
Check if field verification is required,,
Check if guarantor is required for this product,,
Check if income verification is required,,
Check if ownership transfer is required,,
Check if this fee is waived (free),,
Classification Code,,
Classification Name,,
Clear demand allocation before repost,,
Clearance Date,ວັນເກັບກູ້ລະເບີດ,
Closed,ປິດ,
Closed Account Report,,
Closure Date,,
Co Lender Schedule,,
Co Lending,,
Co-Lender Schedule,,
Collateral Photo,,
Collateral Requirements,,
Collateral Type,,
Collateral and guarantor requirements by loan amount tier,,
Collection Offset Sequence,,
Collection Offset Sequence for Settlement Collection,,
Collection Offset Sequence for Standard Asset,,
Collection Offset Sequence for Sub Standard Asset,,
Collection Offset Sequence for Written Off Asset,,
Collection Percentage,,
Collection at partner's percentage,,
Color theme for highlighted point,,
Company,ບໍລິສັດ,
Company Collection Percentage,,
Completed,ສໍາເລັດ,
Completed Tenure,,
Components,ອົງປະກອບ,
Connections,,
Contract Export Report,,
Contract Fee,,
Corporate Guarantee Only,,
