ALM Audit Report,,
About,,
Account,အကောင့်ဖွင့်,
Account Info,အကောင့်အင်ဖို,
Accounting,စာရင်းကိုင်,
Accounting Details,စာရင်းကိုင် Details ကို,
Accounting Dimension,စာရင်းကိုင် Dimension,
Accounting Dimensions,စာရင်းကိုင်အရွယ်အစား,
Accounts,ငွေစာရင်း,
Accrual Date,,
Accrual Details,,
Accrual Type,,
Active,active,
Add To First EMI,,
Add to first repayment,,
Additional Information,အခြားဖြည့်စွက်ရန်အချက်အလက်များ,
Additional Interest,,
Additional Interest Accounts ,,
Additional Interest Accrued,,
Additional Interest Amount,,
Additional Interest Income,,
Additional Interest Receivable,,
Additional Interest Suspense,,
Additional Interest Suspense Entry,,
Additional Interest Waiver,,
Additional Requirements,,
Additional details or special instructions,,
Additional notes about this fee,,
Additional requirements or special conditions,,
Address,လိပ်စာ,
Address Details,,
Address HTML,လိပ်စာက HTML,
Adjusted Amount,,
Adjusted Interest,,
Adjustment Account,,
Adjustment Details,,
Adjustment Receivable Account,,
Adjustment Type,,
Adjustments,,
Advance Payment,,
Against Loan,ချေးငွေဆန့်ကျင်,
Against Loan ,ချေးငွေဆန့်ကျင်,
All entries on and after this date will be reposted,,
Allocated Amount,ခွဲဝေပမာဏ,
Allocated Date,,
Allocated Demands,,
Allow NPL Customers,,
Allow customers with Non-Performing Loan history,,
Allowed Collateral Types,,
Amended From,မှစ. ပြင်ဆင်,
America/New_York,အမေရိက / နယူးယောက်,
Amount,ငွေပမာဏ,
Amount Paid,Paid ငွေပမာဏ,
Amount on which interest is calculated,,
Amounts,ပမာဏ,
Any Collateral,,
Applicability Range,,
Applicant,လြှောကျသူ,
Applicant ,,
Applicant Details,,
Applicant Name,လျှောက်ထားသူအမည်,
Applicant Type,လျှောက်ထားသူအမျိုးအစား,
Applicant-Wise Loan Security Exposure,,
Applies to Loan Amount (Max),,
Applies to Loan Amount (Min),,
Approved,Approved,
Apps,,
Auto Write Off Amount ,,
Automatically set based on parent product. Sub-products inherit approval limits from parent.,,
Available Amount,,
Available Limit,,
Available Limit Amount,,
Available Security Deposit,,
Available Security Value,,
BPI,,
BPI Amount Difference,,
BPI Difference Date,,
Balance Amount,,
Balance Loan Amount,balance ချေးငွေပမာဏ,
Balance Overdue Principal,,
Bank Account,ဘဏ်မှအကောင့်,
Bank Statement,,
Base Amount,,
Bi-Weekly,,
Both Fixed Deposit and Corporate Guarantee,,
Branch,အညွန့,
Branch Details,,
Broken Period Interest,,
Broken Period Interest Days,,
Broken Period Interest Recovery Account,,
Bulk Repayment Log,,
Business Registration,,
Cancel Future Accruals and Demands ,,
Cancel future EMI Demands,,
Cancellation Date,,
Cancelled,ဖျက်သိမ်းခဲ့သည်,
Capitalize,,
Carry Forward,Forward သယ်,
Centralized,,
Change Date,,
Charge,,
Charge Accounts,,
Charge Amount,,
Charge Based On,,
Charge Code,,
Charge Payment,,
Charge Type,,
Charges,စွဲချက်,
Charges Capitalization,,
Charges Overdue,,
Charges Treatment,,
Charges Waiver,,
Check credit bureau (NCB) before approving loan,,
Check if fee amount is a percentage of loan amount,,
Check if field verification is required,,
Check if guarantor is required for this product,,
Check if income verification is required,,
Check if ownership transfer is required,,
Check if this fee is waived (free),,
Classification Code,,
Classification Name,,
Clear demand allocation before repost,,
Clearance Date,ရှင်းလင်းရေးနေ့စွဲ,
Closed,ပိတ်ထားသော,
Closed Account Report,,
Closure Date,,
Co Lender Schedule,,
Co Lending,,
