ALM Audit Report,รายงานการตรวจสอบ ALM,
About,เกี่ยวกับ,
Account,บัญชี,
Account Info,ข้อมูลบัญชี,
Accounting,การบัญชี,
Accounting Details,รายละเอียดบัญชี,
Accounting Dimension,มิติทางบัญชี,
Accounting Dimensions,มิติการบัญชี,
Accounts,บัญชี,
Accrual Date,วันที่คงค้าง,
Accrual Details,รายละเอียดการคำนวณค้างจ่าย,
Accrual Type,ประเภทค้างรับค้างจ่าย,
Active,ใช้งาน,
Add To First EMI,เพิ่มเป็นงวดแรก,
Add to first repayment,เพิ่มไปยังการชำระเงินงวดแรก,
Additional Interest,ดอกเบี้ยเพิ่มเติม,
Additional Interest Accounts ,บัญชีดอกเบี้ยเพิ่มเติม,
Additional Interest Accrued,ดอกเบี้ยสะสมเพิ่มเติม,
Additional Interest Amount,จำนวนดอกเบี้ยเพิ่มเติม,
Additional Interest Income,รายได้ดอกเบี้ยเพิ่มเติม,
Additional Interest Receivable,ดอกเบี้ยรับเพิ่มเติม,
Additional Interest Suspense,ดอกเบี้ยค้างรับเพิ่มเติม,
Additional Interest Suspense Entry,รายการพักดอกเบี้ยเพิ่มเติมค้างรับ,
Additional Interest Waiver,การยกเว้นดอกเบี้ยเพิ่มเติม,
Address,ที่อยู่,
Address Details,รายละเอียดที่อยู่,
Address HTML,ที่อยู่ HTML,
Adjusted Amount,จำนวนที่ปรับปรุงแล้ว,
Adjusted Interest,ดอกเบี้ยปรับปรุง,
Adjustment Account,บัญชีปรับปรุง,
Adjustment Details,รายละเอียดการปรับปรุง,
Adjustment Receivable Account,บัญชีลูกหนี้ปรับปรุง,
Adjustment Type,ประเภทการปรับปรุง,
Adjustments,ปรับปรุงบัญชี,
Advance Payment,เงินมัดจำ,
Against Loan,ต่อต้านเงินกู้,
Against Loan ,ต่อต้านเงินกู้,
All entries on and after this date will be reposted,รายการทั้งหมดตั้งแต่วันที่นี้เป็นต้นไปจะถูกโพสต์ซ้ำใหม่,
Allocated Amount,จำนวนเงินที่จัดสรรแล้ว,
Allocated Date,วันที่จัดสรร,
Allocated Demands,ความต้องการที่จัดสรรแล้ว,
Amended From,แก้ไขจาก,
America/New_York,อเมริกา / New_York,
Amount,จำนวนเงิน,
Amount Paid,จำนวนเงินที่ชำระ,
Amount on which interest is calculated,จำนวนเงินที่ใช้คำนวณดอกเบี้ย,
Amounts,จํานวนเงิน,
Applicant,ผู้ขอ,
Applicant ,ผู้สมัคร,
Applicant Details,รายละเอียดผู้สมัคร,
